Sn,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,imdb_score,budget,gross,profit_percent,Hit/Flop
1642,Corpse Bride,Tim Burton,Johnny Depp,Christopher Lee,Joanna Lumley,Animation|Drama|Family|Fantasy|Musical|Romance,7.4,40000000,53337608,0.3334402,HIT
1644,Sicario,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,Action|Crime|Drama|Mystery|Thriller,7.6,30000000,46875468,0.5625156,HIT
1645,Southpaw,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence,Drama|Sport,7.5,30000000,52418902,0.747296733,HIT
1646,Drag Me to Hell,Sam Raimi,Bojana Novakovic,Alison Lohman,Reggie Lee,Horror|Thriller,6.6,30000000,42057340,0.401911333,HIT
1647,The Age of Adaline,Lee Toland Krieger,Harrison Ford,Michiel Huisman,Ellen Burstyn,Drama|Fantasy|Romance,7.2,25000000,42478175,0.699127,HIT
1648,Secondhand Lions,Tim McCanlies,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,Comedy|Drama|Family,7.6,30000000,41407470,0.380249,HIT
1649,Step Up 3D,Jon M. Chu,Alyson Stoner,Stephen Boss,Facundo Lombard,Drama|Music|Romance,6.2,30000000,42385520,0.412850667,HIT
1650,Blue Crush,John Stockwell,Faizon Love,Mika Boorem,Sanoe Lake,Drama|Romance|Sport,5.6,30000000,40118420,0.337280667,HIT
1651,Stranger Than Fiction,Marc Forster,Will Ferrell,Christian Stolte,Danny Rhodes,Comedy|Drama|Fantasy|Romance,7.6,38000000,40137776,0.056257263,HIT
1652,30 Days of Night,David Slade,Danny Huston,Mark Rendall,Megan Franich,Horror,6.6,32000000,39568996,0.236531125,HIT
1653,The Cabin in the Woods,Drew Goddard,Chris Hemsworth,Bradley Whitford,Kristen Connolly,Fantasy|Horror|Mystery|Thriller,7,30000000,42043633,0.401454433,HIT
1654,Meet the Spartans,Jason Friedberg,Carmen Electra,Diedrich Bader,Method Man,Comedy,2.7,30000000,38232624,0.2744208,HIT
1655,Midnight Run,Martin Brest,Robert De Niro,Yaphet Kotto,Philip Baker Hall,Action|Comedy|Crime|Thriller,7.6,30000000,38413606,0.280453533,HIT
1656,The Running Man,Paul Michael Glaser,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,Action|Crime|Sci-Fi|Thriller,6.6,27000000,38122105,0.411929815,HIT
1657,Little Shop of Horrors,Frank Oz,Bill Murray,Jim Belushi,Tisha Campbell-Martin,Comedy|Horror|Musical|Sci-Fi,6.9,25000000,38747385,0.5498954,HIT
1658,Hanna,Joe Wright,Jessica Barden,Vicky Krieps,John Macmillan,Action|Drama|Thriller,6.8,30000000,40247512,0.341583733,HIT
1660,Mortal Kombat: Annihilation,John R. Leonetti,Brian Thompson,Talisa Soto,Robin Shou,Action|Adventure|Fantasy|Sci-Fi|Thriller,3.7,30000000,35927406,0.1975802,HIT
1661,Larry Crowne,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,Comedy|Drama|Romance,6.1,30000000,35565975,0.1855325,HIT
1662,Carrie,Kimberly Peirce,Chloë Grace Moretz,Judy Greer,Portia Doubleday,Drama|Fantasy|Horror,5.9,30000000,35266619,0.175553967,HIT
1663,Take the Lead,Liz Friedlander,Alfre Woodard,Yaya DaCosta,Jasika Nicole,Drama|Music,6.7,30000000,34703228,0.156774267,HIT
1665,Gridiron Gang,Phil Joanou,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,Crime|Drama|Sport,6.9,30000000,38432823,0.2810941,HIT
1666,What's the Worst That Could Happen?,Sam Weisman,Bernie Mac,Larry Miller,Richard Schiff,Comedy|Crime,5.5,45000000,32095318,-0.286770711,FLOP
1667,9,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,7.1,30000000,31743332,0.058111067,HIT
1668,Side Effects,Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,Crime|Drama|Thriller,7.1,30000000,32154410,0.071813667,HIT
1670,Winnie the Pooh,Stephen J. Anderson,Craig Ferguson,Robert Lopez,Huell Howser,Adventure|Animation|Comedy|Family|Musical,7.3,30000000,26687172,-0.1104276,FLOP
1671,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,Elden Henson,Mimi Rogers,Cheri Oteri,Comedy,3.4,19000000,26096584,0.373504421,HIT
1672,Bulworth,Warren Beatty,Warren Beatty,Kirk Baltz,Graham Beckel,Comedy|Drama|Romance,6.8,30000000,26525834,-0.115805533,FLOP
1673,Get on Up,Tate Taylor,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,Biography|Drama|Music,6.9,30000000,30513940,0.017131333,HIT
1674,One True Thing,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott,Drama,7,30000000,23209440,-0.226352,FLOP
1675,Virtuosity,Brett Leonard,Denzel Washington,Costas Mandylor,Traci Lords,Action|Crime|Sci-Fi|Thriller,5.5,30000000,24048000,-0.1984,FLOP
1676,My Super Ex-Girlfriend,Ivan Reitman,Rainn Wilson,Eddie Izzard,Wanda Sykes,Comedy|Romance|Sci-Fi,5.1,30000000,22526144,-0.249128533,FLOP
1677,Deliver Us from Evil,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar Ramírez,Horror|Mystery|Thriller,6.2,30000000,30523568,0.017452267,HIT
1678,Sanctum,Alister Grierson,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,Adventure|Drama|Thriller,5.9,30000000,23070045,-0.2309985,FLOP
1679,Little Black Book,Nick Hurran,Holly Hunter,Kevin Sussman,Dave Annable,Comedy|Drama|Romance,5.2,35000000,20422207,-0.416508371,FLOP
1680,The Five-Year Engagement,Nicholas Stoller,Alison Brie,Jacki Weaver,David Paymer,Comedy|Romance,6.2,30000000,28644770,-0.045174333,FLOP
1681,Mr 3000,Charles Stone III,Bernie Mac,Chris Noth,Paul Sorvino,Comedy|Drama|Romance|Sport,5.5,30000000,21800302,-0.273323267,FLOP
1682,The Next Three Days,Paul Haggis,Olivia Wilde,Daniel Stern,Aisha Hinds,Crime|Drama|Romance|Thriller,7.4,35000000,21129348,-0.396304343,FLOP
1683,Ultraviolet,Kurt Wimmer,Milla Jovovich,Cameron Bright,Nick Chinlund,Action|Horror|Sci-Fi|Thriller,4.4,30000000,18500966,-0.383301133,FLOP
1684,Assault on Precinct 13,Jean-François Richet,Brian Dennehy,Drea de Matteo,Hugh Dillon,Action|Crime|Drama|Thriller,6.3,20000000,19976073,-0.00119635,FLOP
1685,The Replacement Killers,Antoine Fuqua,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,Action|Crime|Thriller,6.1,30000000,18967571,-0.367747633,FLOP
1686,Fled,Kevin Hooks,Salma Hayek,Stephen Baldwin,Will Patton,Action|Adventure|Crime|Drama|Romance,5.3,25000000,17100000,-0.316,FLOP
1687,Eight Legged Freaks,Ellory Elkayem,Scarlett Johansson,Doug E. Doug,Riley Smith,Action|Comedy|Horror,5.4,30000000,17266505,-0.424449833,FLOP
1688,Love & Other Drugs,Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Judy Greer,Comedy|Drama|Romance,6.7,30000000,32357532,0.0785844,HIT
1689,88 Minutes,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,Crime|Drama|Mystery|Thriller,5.9,30000000,16930884,-0.4356372,FLOP
1690,North Country,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,Drama,7.3,35000000,18324242,-0.476450229,FLOP
1691,The Whole Ten Yards,Howard Deutch,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy|Crime|Thriller,5.5,40000000,16323969,-0.591900775,FLOP
1692,Splice,Vincenzo Natali,Sarah Polley,David Hewlett,Delphine Chanéac,Drama|Horror|Sci-Fi,5.8,26000000,16999046,-0.346190538,FLOP
1693,Howard the Duck,Willard Huyck,Lea Thompson,Jeffrey Jones,Jordan Prentice,Action|Adventure|Comedy|Romance|Sci-Fi,4.6,35000000,16295774,-0.534406457,FLOP
1694,Pride and Glory,Gavin O'Connor,Jennifer Ehle,Rick Gonzalez,Frank Grillo,Crime|Drama|Thriller,6.7,30000000,15709385,-0.476353833,FLOP
1695,The Cave,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,Adventure|Horror|Thriller,5.1,30000000,14888028,-0.5037324,FLOP
1696,Alex & Emma,Rob Reiner,David Paymer,Lobo Sebastian,Robert Costanzo,Comedy|Romance,5.6,30000000,14208384,-0.5263872,FLOP
1697,Wicker Park,Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,Drama|Mystery|Romance|Thriller,7,30000000,12831121,-0.572295967,FLOP
1698,Fright Night,Craig Gillespie,Grace Phipps,Reid Ewing,Sandra Vergara,Comedy|Horror,6.4,30000000,18298649,-0.390045033,FLOP
1699,The New World,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,Biography|Drama|History|Romance,6.7,30000000,12712093,-0.576263567,FLOP
1700,Wing Commander,Chris Roberts,Saffron Burrows,David Suchet,Jürgen Prochnow,Action|Adventure|Sci-Fi,4.1,30000000,11576087,-0.614130433,FLOP
1701,In Dreams,Neil Jordan,Robert Downey Jr.,Aidan Quinn,Paul Guilfoyle,Drama|Fantasy|Thriller,5.5,30000000,11900000,-0.603333333,FLOP
1702,Dragonball: Evolution,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,Action|Adventure|Fantasy|Sci-Fi|Thriller,2.7,45000000,9353573,-0.792142822,FLOP
1703,The Last Stand,Jee-woon Kim,Zach Gilford,James Burnett,Christiana Leucas,Action|Crime|Thriller,6.4,45000000,12026670,-0.732740667,FLOP
1704,Godsend,Nick Hamm,Robert De Niro,Cameron Bright,Munro Chambers,Drama|Horror|Sci-Fi|Thriller,4.8,25000000,14334645,-0.4266142,FLOP
1705,Chasing Liberty,Andy Cadiff,Annabella Sciorra,Stark Sands,Terence Maynard,Comedy|Romance,6.1,23000000,12189514,-0.47002113,FLOP
1706,Hoodwinked Too! Hood vs. Evil,Mike Disa,Amy Poehler,Phil LaMarr,Cheech Marin,Animation|Comedy|Family,4.8,30000000,10134754,-0.662174867,FLOP
1707,An Unfinished Life,Lasse Hallström,Morgan Freeman,Camryn Manheim,Lynda Boyd,Drama,7,30000000,8535575,-0.715480833,FLOP
1708,The Imaginarium of Doctor Parnassus,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Adventure|Fantasy|Mystery,6.8,40000000,7689458,-0.80776355,FLOP
1711,Runner Runner,Brad Furman,Justin Timberlake,John Heard,David Costabile,Crime|Thriller,5.6,30000000,19316646,-0.3561118,FLOP
1712,Antitrust,Peter Howitt,Tyler Labine,Richard Roundtree,Ned Bellamy,Action|Crime|Drama|Thriller,6.1,30000000,10965209,-0.634493033,FLOP
1713,Glory,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama|History|War,7.9,18000000,26830000,0.490555556,HIT
1714,Once Upon a Time in America,Sergio Leone,Robert De Niro,Burt Young,Treat Williams,Crime|Drama,8.4,30000000,5300000,-0.823333333,FLOP
1715,Dead Man Down,Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,James Biberi,Action|Crime|Drama|Thriller,6.5,30000000,10880926,-0.637302467,FLOP
1716,The Merchant of Venice,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall,Drama|Romance,7.1,18000000,3752725,-0.791515278,FLOP
1717,The Good Thief,Neil Jordan,Emir Kusturica,Saïd Taghmaoui,Tchéky Karyo,Action|Crime|Drama|Romance|Thriller,6.6,25000000,3517797,-0.85928812,FLOP
1719,Miss Potter,Chris Noonan,Emily Watson,Bill Paterson,Lucy Boynton,Biography|Drama|Romance,7,30000000,2975649,-0.9008117,FLOP
1720,The Promise,Kaige Chen,Dong-gun Jang,Toby Leonard Moore,Nicholas Tse,Action|Drama|Fantasy,5.6,60000000,668171,-0.988863817,FLOP
1721,DOA: Dead or Alive,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,Action|Adventure,4.8,21000000,480314,-0.977127905,FLOP
1722,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,Brad Pitt,Jeremy Renner,Sam Shepard,Biography|Crime|Drama|History|Western,7.5,30000000,3904982,-0.869833933,FLOP
1723,1911,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Action|Adventure|Drama|History|War,6,18000000,127437,-0.992920167,FLOP
1726,Machine Gun Preacher,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,Action|Biography|Crime|Drama,6.8,30000000,537580,-0.982080667,FLOP
1734,Pitch Perfect 2,Elizabeth Banks,Anna Kendrick,Birgitte Hjort Sørensen,Hana Mae Lee,Comedy|Music,6.5,29000000,183436380,5.325392414,HIT
1735,Walk the Line,James Mangold,Sandra Ellis Lafferty,Dallas Roberts,Tyler Hilton,Biography|Drama|Music|Romance,7.9,28000000,119518352,3.268512571,HIT
1737,Keeping the Faith,Edward Norton,Lisa Edelstein,Milos Forman,Anne Bancroft,Comedy|Drama|Romance,6.4,30000000,37036404,0.2345468,HIT
1738,The Borrowers,Peter Hewitt,Jim Broadbent,Bradley Pierce,Mark Williams,Adventure|Comedy|Family|Fantasy,5.8,29000000,22359293,-0.228989897,FLOP
1739,Frost/Nixon,Ron Howard,Toby Jones,Clint Howard,Oliver Platt,Drama,7.7,35000000,18593156,-0.468766971,FLOP
1741,Serving Sara,Reginald Hudlin,Matthew Perry,Jerry Stiller,Vincent Pastore,Comedy|Romance,5.3,29000000,16930185,-0.416200517,FLOP
1742,The Boss,Ben Falcone,Peter Dinklage,Tyler Labine,Ben Falcone,Comedy,5.3,29000000,63034755,1.173612241,HIT
1743,Cry Freedom,Richard Attenborough,Denzel Washington,Kevin McNally,Penelope Wilton,Biography|Drama|History,7.5,29000000,5899797,-0.796558724,FLOP
1744,Mumford,Lawrence Kasdan,Zooey Deschanel,Alfre Woodard,Mary McDonnell,Comedy|Drama,6.9,28000000,4554569,-0.837336821,FLOP
1745,Seed of Chucky,Don Mancini,Jason Flemyng,Billy Boyd,Hannah Spearritt,Comedy|Fantasy|Horror|Thriller,4.9,12000000,17016190,0.418015833,HIT
1746,The Jacket,John Maybury,Jennifer Jason Leigh,Jason Lewis,Angel Coulby,Drama|Mystery|Sci-Fi|Thriller,7.1,29000000,6301131,-0.782719621,FLOP
1747,Aladdin,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,8,28000000,217350219,6.762507821,HIT
1748,Straight Outta Compton,F. Gary Gray,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,Biography|Crime|Drama|History|Music,7.9,28000000,161029270,4.751045357,HIT
1749,Indiana Jones and the Temple of Doom,Steven Spielberg,Harrison Ford,Amrish Puri,Kate Capshaw,Action|Adventure,7.6,28000000,179870271,5.42393825,HIT
1750,The Rugrats Movie,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,Adventure|Animation|Comedy|Drama|Family|Musical,5.9,24000000,100491683,3.187153458,HIT
1751,Along Came a Spider,Lee Tamahori,Morgan Freeman,Billy Burke,Monica Potter,Crime|Drama|Thriller,6.3,60000000,74058698,0.234311633,HIT
1753,Once Upon a Time in Mexico,Robert Rodriguez,Johnny Depp,Salma Hayek,Enrique Iglesias,Action|Crime|Thriller,6.4,29000000,55845943,0.925722172,HIT
1754,Die Hard,John McTiernan,Alan Rickman,Bruce Willis,Reginald VelJohnson,Action|Thriller,8.2,28000000,81350242,1.905365786,HIT
1755,Role Models,David Wain,Joe Lo Truglio,Ken Marino,Bobb'e J. Thompson,Comedy,6.9,28000000,67266300,1.402367857,HIT
1756,The Big Short,Adam McKay,Ryan Gosling,Christian Bale,Charlie Talbert,Biography|Comedy|Drama|History,7.8,28000000,70235322,1.508404357,HIT
1757,Taking Woodstock,Ang Lee,Imelda Staunton,Kevin Chamberlin,Demetri Martin,Comedy|Drama|Music,6.7,30000000,7443007,-0.751899767,FLOP
1758,Miracle,Gavin O'Connor,Eddie Cahill,Noah Emmerich,Kenneth Mitchell,Biography|Drama|History|Sport,7.5,28000000,64371181,1.29897075,HIT
1759,Dawn of the Dead,Zack Snyder,Ty Burrell,Kevin Zegers,Mekhi Phifer,Action|Horror|Thriller,7.4,26000000,58885635,1.264832115,HIT
1760,The Wedding Planner,Adam Shankman,Matthew McConaughey,Judy Greer,Alex Rocco,Comedy|Romance,5.2,35000000,60400856,0.725738743,HIT
1762,The Royal Tenenbaums,Wes Anderson,Bill Murray,Anjelica Huston,Seymour Cassel,Comedy|Drama,7.6,21000000,52353636,1.493030286,HIT
1763,Identity,James Mangold,Clea DuVall,Rebecca De Mornay,Jake Busey,Mystery|Thriller,7.3,30000000,51475962,0.7158654,HIT
1764,Last Vegas,Jon Turteltaub,Robert De Niro,Morgan Freeman,Romany Malco,Comedy|Romance,6.6,28000000,63910583,1.282520821,HIT
1765,For Your Eyes Only,John Glen,Julian Glover,Topol,Desmond Llewelyn,Action|Adventure|Thriller,6.8,28000000,62300000,1.225,HIT
1766,Serendipity,Peter Chelsom,Lilli Lavine,David Sparrow,Ann Talman,Comedy|Romance,6.9,28000000,49968653,0.78459475,HIT
1767,Timecop,Peter Hyams,Mia Sara,Bruce McGill,Gloria Reuben,Action|Crime|Sci-Fi|Thriller,5.8,27000000,44450000,0.646296296,HIT
1768,Zoolander,Ben Stiller,Milla Jovovich,Alexander Skarsgård,Will Ferrell,Comedy,6.6,28000000,45162741,0.612955036,HIT
1769,Safe Haven,Lasse Hallström,David Lyons,Noah Lomax,Mimi Kirkland,Drama|Romance|Thriller,6.7,28000000,71346930,1.548104643,HIT
1770,Hocus Pocus,Kenny Ortega,Vinessa Shaw,Omri Katz,Larry Bagby,Comedy|Family|Fantasy,6.7,28000000,39514713,0.41123975,HIT
1771,No Reservations,Scott Hicks,Zoë Kravitz,Lily Rabe,Bob Balaban,Comedy|Drama|Romance,6.3,28000000,43097652,0.539201857,HIT
1772,Kick-Ass,Matthew Vaughn,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,Action|Comedy,7.7,30000000,48043505,0.601450167,HIT
1773,30 Minutes or Less,Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,Action|Comedy|Crime,6.1,28000000,37053924,0.323354429,HIT
1774,Dracula 2000,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan,Action|Fantasy|Horror|Thriller,4.9,28000000,33000377,0.178584893,HIT
1775,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,Bella Thorne,Steve Carell,Jennifer Garner,Comedy|Family,6.2,28000000,66950483,1.391088679,HIT
1776,Pride & Prejudice,Joe Wright,Talulah Riley,Brenda Blethyn,Simon Woods,Drama|Romance,7.8,28000000,38372662,0.370452214,HIT
1777,Blade Runner,Ridley Scott,Harrison Ford,Sean Young,M. Emmet Walsh,Sci-Fi|Thriller,8.2,28000000,27000000,-0.035714286,FLOP
1778,Rob Roy,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,Adventure|Biography,6.9,28000000,31600000,0.128571429,HIT
1779,3 Days to Kill,McG,Connie Nielsen,Richard Sammel,Tómas Lemarquis,Action|Drama|Thriller,6.2,28000000,30688364,0.096013,HIT
1780,We Own the Night,James Gray,Robert Duvall,Oleg Taktarov,Antoni Corone,Crime|Drama|Thriller,6.9,21000000,28563179,0.360151381,HIT
1781,Lost Souls,Janusz Kaminski,Philip Baker Hall,Bob Clendenin,Ben Chaplin,Drama|Horror|Thriller,4.8,28000000,16779636,-0.400727286,FLOP
1782,Winged Migration,Jacques Perrin,Jacques Perrin,Philippe Labro,,Documentary,8,160000000,10762178,-0.932736388,FLOP
1783,Just My Luck,Donald Petrie,Samaire Armstrong,Carlos Ponce,Faizon Love,Comedy|Fantasy|Romance,5.3,28000000,17324744,-0.381259143,FLOP
1784,"Mystery, Alaska",Jay Roach,Scott Grimes,Mary McCormack,Ron Eldard,Comedy|Drama|Sport,6.7,28000000,8888143,-0.682566321,FLOP
1785,The Spy Next Door,Brian Levant,Madeline Carroll,Amber Valletta,George Lopez,Action|Comedy|Family,5.4,28000000,24268828,-0.133256143,FLOP
1786,A Simple Wish,Michael Ritchie,Mara Wilson,Francis Capra,Kathleen Turner,Comedy|Family|Fantasy,5.4,28000000,8119205,-0.710028393,FLOP
1787,Ghosts of Mars,John Carpenter,Jason Statham,Clea DuVall,Natasha Henstridge,Action|Horror|Sci-Fi,4.9,28000000,8434601,-0.69876425,FLOP
1788,Our Brand Is Crisis,David Gordon Green,Dominic Flores,Zoe Kazan,Scoot McNairy,Comedy|Drama,6.1,28000000,6998324,-0.750059857,FLOP
1789,Pride and Prejudice and Zombies,Burr Steers,Matt Smith,Bella Heathcote,Sam Riley,Action|Horror|Romance,5.8,28000000,10907291,-0.610453893,FLOP
1790,Kundun,Martin Scorsese,Tenzin Thuthob Tsarong,Tulku Jamyang Kunga Tenzin,Tencho Gyalpo,Biography|Drama|History|War,7,28000000,5532301,-0.802417821,FLOP
1791,How to Lose Friends & Alienate People,Robert B. Weide,James Corden,Katherine Parkinson,Fenella Woolgar,Comedy|Drama|Romance,6.5,27000000,2775593,-0.897200259,FLOP
1792,Kick-Ass 2,Jeff Wadlow,Chloë Grace Moretz,Donald Faison,Augustus Prew,Action|Comedy|Crime,6.6,28000000,28751715,0.026846964,HIT
1794,Brick Mansions,Camille Delamarre,Paul Walker,Robert Maillet,RZA,Action|Crime|Drama|Thriller,5.7,28000000,20285518,-0.275517214,FLOP
1795,Octopussy,John Glen,Louis Jourdan,Kabir Bedi,Steven Berkoff,Action|Adventure|Thriller,6.6,27500000,67900000,1.469090909,HIT
1796,Knocked Up,Judd Apatow,Harold Ramis,Martin Starr,Charlyne Yi,Comedy|Romance,7,30000000,148734225,3.9578075,HIT
1797,My Sister's Keeper,Nick Cassavetes,Jason Patric,Sofia Vassilieva,Jeffrey Markle,Drama,7.4,30000000,49185998,0.639533267,HIT
1798,"Welcome Home, Roscoe Jenkins",Malcolm D. Lee,Mo'Nique,Mike Epps,Cedric the Entertainer,Comedy|Drama|Romance,5.3,35000000,42168445,0.204812714,HIT
1799,A Passage to India,David Lean,Richard Wilson,Judy Davis,Art Malik,Adventure|Drama|History,7.4,16000000,26400000,0.65,HIT
1800,Notes on a Scandal,Richard Eyre,Phil Davis,Andrew Simpson,Shaun Parkes,Crime|Drama|Romance|Thriller,7.4,15000000,17508670,0.167244667,HIT
1801,Rendition,Gavin Hood,J.K. Simmons,Jake Gyllenhaal,Meryl Streep,Drama|Thriller,6.8,27500000,9664316,-0.648570327,FLOP
1803,Star Trek VI: The Undiscovered Country,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols,Action|Adventure|Sci-Fi|Thriller,7.2,30000000,74888996,1.496299867,HIT
1804,Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri,Ellen Burstyn,Fionnula Flanagan,Matthew Settle,Drama,6,27000000,69586544,1.577279407,HIT
1805,The Jungle Book,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure|Drama|Family|Fantasy,7.8,175000000,362645141,1.072257949,HIT
1806,Kiss the Girls,Gary Fleder,Morgan Freeman,Tony Goldwyn,Tatyana Ali,Crime|Drama|Mystery|Thriller,6.6,27000000,60491560,1.240428148,HIT
1807,The Blues Brothers,John Landis,John Belushi,Aretha Franklin,Ray Charles,Action|Comedy|Crime|Music,7.9,27000000,54200000,1.007407407,HIT
1809,Joyful Noise,Todd Graff,Dolly Parton,Jeremy Jordan,Jesse L. Martin,Comedy|Music,5.7,25000000,30920167,0.23680668,HIT
1810,About a Boy,Chris Weitz,Sharon Small,Christopher Webster,Peter McNicholl,Comedy|Drama|Romance,7.1,30000000,40566655,0.352221833,HIT
1811,Lake Placid,Steve Miner,Oliver Platt,Bridget Fonda,Ty Olsson,Action|Comedy|Horror,5.6,27000000,31768374,0.176606444,HIT
1812,Lucky Number Slevin,Paul McGuigan,Bruce Willis,Morgan Freeman,Dorian Missick,Crime|Drama|Mystery|Thriller,7.8,27000000,22494487,-0.166870852,FLOP
1813,The Right Stuff,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,Adventure|Drama|History,7.9,27000000,21500000,-0.203703704,FLOP
1814,Anonymous,Roland Emmerich,Vanessa Redgrave,Joely Richardson,Rafe Spall,Drama|History|Thriller,6.9,30000000,4463292,-0.8512236,FLOP
1816,Dark City,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,7.7,27000000,14337579,-0.468978556,FLOP
1817,The Duchess,Saul Dibb,Dominic Cooper,Hayley Atwell,Charlotte Rampling,Biography|Drama|History|Romance,6.9,13500000,13823741,0.023980815,HIT
1820,The Newton Boys,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,Action|Crime|Drama|History|Western,6,27000000,10297897,-0.618596407,FLOP
1821,Case 39,Christian Alvart,Bradley Cooper,Callum Rennie,Vanesa Tomasino,Horror|Mystery|Thriller,6.2,27000000,13248477,-0.509315667,FLOP
1822,Suspect Zero,E. Elias Merhige,Harry Lennix,Kevin Chamberlin,William Mapother,Crime|Drama|Mystery|Thriller,5.9,27000000,8712564,-0.677312444,FLOP
1823,Martian Child,Menno Meyjes,Oliver Platt,Richard Schiff,Sophie Okonedo,Comedy|Drama|Family,6.8,27000000,7486906,-0.722707185,FLOP
1824,Spy Kids: All the Time in the World in 4D,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,Action|Adventure|Comedy|Family|Sci-Fi,3.6,27000000,38536376,0.427273185,HIT
1825,Money Monster,Jodie Foster,Julia Roberts,Jack O'Connell,Chris Bauer,Crime|Drama|Thriller,6.7,27000000,41008532,0.518834519,HIT
1826,Formula 51,Ronny Yu,Meat Loaf,Junix Inocian,Paul Barber,Action|Comedy|Crime|Thriller,6.3,28000000,5204007,-0.814142607,FLOP
1827,Flawless,Joel Schumacher,Robert De Niro,Philip Seymour Hoffman,Chris Bauer,Comedy|Crime|Drama,6.4,15000000,4485485,-0.700967667,FLOP
1828,Mindhunters,Renny Harlin,LL Cool J,Clifton Collins Jr.,Eion Bailey,Crime|Horror|Mystery|Thriller,6.4,27000000,4476235,-0.834213519,FLOP
1829,What Just Happened,Barry Levinson,Robert De Niro,Robin Wright,Kristen Stewart,Comedy|Drama,5.7,25000000,1089365,-0.9564254,FLOP
1830,The Statement,Norman Jewison,Charlotte Rampling,Colin Salmon,John Neville,Drama|Thriller,6.2,23000000,763044,-0.966824174,FLOP
1832,Paul Blart: Mall Cop,Steve Carr,Erick Avari,Adhir Kalyan,Allen Covert,Action|Comedy|Crime,5.2,26000000,20819129,-0.199264269,FLOP
1833,Freaky Friday,Mark Waters,Jamie Lee Curtis,Julie Gonzalo,Willie Garson,Comedy|Family|Fantasy|Music|Romance,6.1,26000000,110222438,3.239324538,HIT
1834,The 40-Year-Old Virgin,Judd Apatow,Steve Carell,Romany Malco,Gerry Bednob,Comedy|Romance,7.1,26000000,109243478,3.201672231,HIT
1835,Shakespeare in Love,John Madden,Tom Wilkinson,Martin Clunes,Simon Callow,Comedy|Drama|Romance,7.2,25000000,100241322,3.00965288,HIT
1836,A Walk Among the Tombstones,Scott Frank,Liam Neeson,Boyd Holbrook,David Harbour,Crime|Drama|Mystery|Thriller,6.5,28000000,25977365,-0.072236964,FLOP
1837,Kindergarten Cop,Ivan Reitman,Richard Tyson,Cathy Moriarty,Penelope Ann Miller,Action|Comedy|Crime,6,26000000,91457688,2.517603385,HIT
